# awakened.txt - ПРОБУЖДЕННЫЕ ИМЕНА МОНСТРОВ
# Формат: Семейство|Стихия|Пробужденное имя
# Стихии: water, fire, wind, light, dark

# === 2★ МОНСТРЫ ===
Low Elemental|water|Tigresse
Low Elemental|fire|Lamor
Low Elemental|wind|Samour

Imp|water|Fynn
Imp|fire|Cogma
Imp|wind|Ralph
Imp|light|Taru
Imp|dark|Garok

Pixie|water|Kacey
Pixie|fire|Tatu
Pixie|wind|Shannon
Pixie|light|Cheryl
Pixie|dark|Camaryn

Yeti|water|Kunda
Yeti|fire|Tantra
Yeti|wind|Rakaja
Yeti|light|Arkajan
Yeti|dark|Kumae

Hellhound|water|Tarq
Hellhound|fire|Sieq
Hellhound|wind|Gamir
Hellhound|light|Shamar
Hellhound|dark|Shumar

Salamander|water|Kaimann
Salamander|fire|Krakdon
Salamander|wind|Lukan
Salamander|light|Sharman
Salamander|dark|Decamaron

Howl|water|Lulu
Howl|fire|Lala
Howl|wind|Chichi
Howl|light|Shushu
Howl|dark|Chacha

Viking|water|Huga
Viking|fire|Geoffrey
Viking|wind|Walter
Viking|light|Jansson
Viking|dark|Janssen

Garuda|water|Konamiya
Garuda|fire|Cahule
Garuda|wind|Lindermen
Garuda|light|Teon
Garuda|dark|Rizak

# === 3★ МОНСТРЫ ===
Fairy|water|Elucia
Fairy|fire|Iselia
Fairy|wind|Aeilene
Fairy|light|Neal
Fairy|dark|Sorin

Harpy|water|Ramira
Harpy|fire|Lucasha
Harpy|wind|Prilea
Harpy|light|Kabilla
Harpy|dark|Hellea

Warbear|water|Dagora
Warbear|fire|Ursha
Warbear|wind|Ramagos
Warbear|light|Lusha
Warbear|dark|Gorgo

Elemental|water|Daharenos
Elemental|fire|Bremis
Elemental|wind|Taharus
Elemental|light|Priz
Elemental|dark|Camules

Inugami|water|Raoq
Inugami|fire|Icaru
Inugami|wind|Ramahan
Inugami|light|Belladeon
Inugami|dark|Kro

Serpent|water|Shailoq
Serpent|fire|Fao
Serpent|wind|Ermeda
Serpent|light|Elpuria
Serpent|dark|Mantura

Golem|water|Kuhn
Golem|fire|Kugo
Golem|wind|Ragion
Golem|light|Groggo
Golem|dark|Maggi

Griffon|water|Kahn
Griffon|fire|Spectra
Griffon|wind|Bernard
Griffon|light|Shamann
Griffon|dark|Varus

Inferno|water|Purian
Inferno|fire|Tagaros
Inferno|wind|Anduril
Inferno|light|Eludain
Inferno|dark|Drogan

High Elemental|water|Ellena
High Elemental|fire|Kahli
High Elemental|wind|Moria
High Elemental|light|Shren
High Elemental|dark|Jumaline

Harpu|water|Sisroo
Harpu|fire|Colleen
Harpu|wind|Seal
Harpu|light|Sia
Harpu|dark|Seren

Bearman|water|Gruda
Bearman|fire|Kungen
Bearman|wind|Dagorr
Bearman|light|Ahman
Bearman|dark|Haken

Werewolf|water|Vigor
Werewolf|fire|Garoche
Werewolf|wind|Shakan
Werewolf|light|Eshir
Werewolf|dark|Jultan

Amazon|water|Ellin
Amazon|fire|Ceres
Amazon|wind|Hina
Amazon|light|Lyn
Amazon|dark|Mara

Martial Cat|water|Mina
Martial Cat|fire|Mei
Martial Cat|wind|Naomi
Martial Cat|light|Xiao Ling
Martial Cat|dark|Miho

Vagabond|water|Allen
Vagabond|fire|Kai'en
Vagabond|wind|Roid
Vagabond|light|Darion
Vagabond|dark|Jubelle

Bounty Hunter|water|Wayne
Bounty Hunter|fire|Randy
Bounty Hunter|wind|Roger
Bounty Hunter|light|Walkers
Bounty Hunter|dark|Jamie

Imp Champion|water|Yaku
Imp Champion|fire|Fairo
Imp Champion|wind|Pigma
Imp Champion|light|Shaffron
Imp Champion|dark|Loque

Mystic Witch|water|Megan
Mystic Witch|fire|Rebecca
Mystic Witch|wind|Silia
Mystic Witch|light|Linda
Mystic Witch|dark|Gina

Grim Reaper|water|Hemos
Grim Reaper|fire|Sath
Grim Reaper|wind|Hiva
Grim Reaper|light|Prom
Grim Reaper|dark|Thrain

Living Armor|water|Nickel
Living Armor|fire|Iron
Living Armor|wind|Copper
Living Armor|light|Silver
Living Armor|dark|Zinc

Drunken Master|water|Mao
Drunken Master|fire|Xiao Chun
Drunken Master|wind|Huan
Drunken Master|light|Tien Qin
Drunken Master|dark|Wei Shin

Minotauros|water|Urtau
Minotauros|fire|Burentau
Minotauros|wind|Eintau
Minotauros|light|Grotau
Minotauros|dark|Kamatau

Lizardman|water|Kernodon
Lizardman|fire|Igmanodon
Lizardman|wind|Velfinodon
Lizardman|light|Glinodon
Lizardman|dark|Devinodon

Beast Hunter|water|Gangchun
Beast Hunter|fire|Nangrim
Beast Hunter|wind|Suri
Beast Hunter|light|Baekdu
Beast Hunter|dark|Hannam

Penguin Knight|water|Toma
Penguin Knight|fire|Naki
Penguin Knight|wind|Mav
Penguin Knight|light|Dona
Penguin Knight|dark|Kuna

Battle Mammoth|water|Talc
Battle Mammoth|fire|Granite
Battle Mammoth|wind|Olivine
Battle Mammoth|light|Marble
Battle Mammoth|dark|Basalt

Cow Girl|water|Sera
Cow Girl|fire|Anne
Cow Girl|wind|Hannah
Cow Girl|light|Loren
Cow Girl|dark|Cassie

Charger Shark|water|Aqcus
Charger Shark|fire|Ignicus
Charger Shark|wind|Zephicus
Charger Shark|light|Rumicus
Charger Shark|dark|Calicus

Chakram Dancer|water|Talia
Chakram Dancer|fire|Shaina
Chakram Dancer|wind|Melissa
Chakram Dancer|light|Deva
Chakram Dancer|dark|Belita

Martial Artist|water|Luan
Martial Artist|fire|Sin
Martial Artist|wind|Lo
Martial Artist|light|Hiro
Martial Artist|dark|Jackie

Mummy|water|Nubia
Mummy|fire|Sonora
Mummy|wind|Namib
Mummy|light|Sahara
Mummy|dark|Karakum

Frankenstein|water|Tractor
Frankenstein|fire|Bulldozer
Frankenstein|wind|Crane
Frankenstein|light|Driller
Frankenstein|dark|Crawler

Elven Ranger|water|Eluin
Elven Ranger|fire|Adrian
Elven Ranger|wind|Erwin
Elven Ranger|light|Lucien
Elven Ranger|dark|Isillen

Harg|water|Remy
Harg|fire|Racuni
Harg|wind|Raviti
Harg|light|Dova
Harg|dark|Kroa

# === 4★ МОНСТРЫ ===
Nine-tailed Fox|water|Soha
Nine-tailed Fox|fire|Shihwa
Nine-tailed Fox|wind|Arang
Nine-tailed Fox|light|Chamie
Nine-tailed Fox|dark|Kamiya

Undine|water|Mikene
Undine|fire|Atenai
Undine|wind|Delphoi
Undine|light|Icasha
Undine|dark|Tilasha

Giant Warrior|water|Bagir
Giant Warrior|fire|Vidurr
Giant Warrior|wind|Skogul
Giant Warrior|light|Einheri
Giant Warrior|dark|Trasar

Boomerang Warrior|water|Sabrina
Boomerang Warrior|fire|Maruna
Boomerang Warrior|wind|Zenobia
Boomerang Warrior|light|Bailey
Boomerang Warrior|dark|Martina

Sylph|water|Tyron
Sylph|fire|Baretta
Sylph|wind|Shimitae
Sylph|light|Eredas
Sylph|dark|Aschubel

Sylphid|water|Lumirecia
Sylphid|fire|Fria
Sylphid|wind|Acasis
Sylphid|light|Mihael
Sylphid|dark|Icares

Succubus|water|Izaria
Succubus|fire|Akia
Succubus|wind|Selena
Succubus|light|Aria
Succubus|dark|Isael

Joker|water|Sian
Joker|fire|Jojo
Joker|wind|Lushen
Joker|light|Figaro
Joker|dark|Liebli

Ninja|water|Susano
